IncidntNum,categories,description,days,date,time,address,longitude,latitude,periods
170003528,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Monday,01/02/2017 12:00:00 AM,11:24:00,BRADY ST / STEVENSON ST,-122.420777755772,37.7731629856845,morning
170003540,OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Sunday,01/01/2017 12:00:00 AM,18:30:00,600 Block of ALABAMA ST,-122.411918279507,37.7609983572492,evening
170003584,BURGLARY,"BURGLARY, VEHICLE (ARREST MADE)",Monday,01/02/2017 12:00:00 AM,12:40:00,BAY ST / JONES ST,-122.416891536622,37.8052112316081,afternoon
170003584,STOLEN PROPERTY,"STOLEN PROPERTY, POSSESSION WITH KNOWLEDGE, RECEIVING",Monday,01/02/2017 12:00:00 AM,12:40:00,BAY ST / JONES ST,-122.416891536622,37.8052112316081,afternoon
170003584,OTHER OFFENSES,POSSESSION OF BURGLARY TOOLS,Monday,01/02/2017 12:00:00 AM,12:40:00,BAY ST / JONES ST,-122.416891536622,37.8052112316081,afternoon
170003590,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,01/02/2017 12:00:00 AM,12:21:00,700 Block of 45TH AV,-122.505745244031,37.7743752238446,afternoon
170003619,BURGLARY,"BURGLARY, HOT PROWL, ATTEMPTED FORCIBLE ENTRY",Sunday,01/01/2017 12:00:00 AM,03:00:00,400 Block of HILL ST,-122.431172415726,37.7555428582993,early_morning
170003625,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,01/02/2017 12:00:00 AM,11:15:00,19TH ST / GUERRERO ST,-122.423643957485,37.7599667312465,morning
170003631,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Monday,01/02/2017 12:00:00 AM,12:29:00,TRUMBULL ST / MISSION ST,-122.429306728376,37.7307429169559,afternoon
170003675,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Monday,01/02/2017 12:00:00 AM,10:15:00,0 Block of OFARRELL ST,-122.405895369887,37.7867342184983,morning
170003681,WEAPON LAWS,SUSPICIOUS PACKAGE,Monday,01/02/2017 12:00:00 AM,11:47:00,1200 Block of BRYANT ST,-122.410296327148,37.769831790844,morning
170003700,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Sunday,01/01/2017 12:00:00 AM,22:30:00,1500 Block of HUDSON AV,-122.387313799871,37.7395687066051,evening
170003716,ROBBERY,"ROBBERY, BODILY FORCE",Sunday,01/01/2017 12:00:00 AM,14:30:00,MISSION ST / 16TH ST,-122.419671780296,37.7650501214668,afternoon
170003716,ASSAULT,ELDER ADULT OR DEPENDENT ABUSE (NOT EMBEZZLEMENT OR THEFT),Sunday,01/01/2017 12:00:00 AM,14:30:00,MISSION ST / 16TH ST,-122.419671780296,37.7650501214668,afternoon
170003738,ASSAULT,THREATS AGAINST LIFE,Monday,01/02/2017 12:00:00 AM,12:45:00,PINE ST / LAGUNA ST,-122.428715158641,37.7885754519991,afternoon
170003744,LIQUOR LAWS,CONSUMING ALCOHOL IN PUBLIC VIEW,Monday,01/02/2017 12:00:00 AM,12:13:00,100 Block of EDDY ST,-122.410135236377,37.7841889075267,afternoon
170003744,WARRANTS,ENROUTE TO DEPARTMENT OF CORRECTIONS,Monday,01/02/2017 12:00:00 AM,12:13:00,100 Block of EDDY ST,-122.410135236377,37.7841889075267,afternoon
170003766,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,01/02/2017 12:00:00 AM,13:04:00,3300 Block of 26TH ST,-122.416788894729,37.7491771942602,afternoon
170003788,LARCENY/THEFT,GRAND THEFT PICKPOCKET,Monday,01/02/2017 12:00:00 AM,00:01:00,MARKET ST / 6TH ST,-122.41029351969,37.7822305870036,early_morning
170003794,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Monday,01/02/2017 12:00:00 AM,13:11:00,BAYVIEW ST / POMONA ST,-122.393243081237,37.7326162697545,afternoon
170003794,OTHER OFFENSES,TRAFFIC VIOLATION,Monday,01/02/2017 12:00:00 AM,13:11:00,BAYVIEW ST / POMONA ST,-122.393243081237,37.7326162697545,afternoon
170003829,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Sunday,01/01/2017 12:00:00 AM,13:30:00,1500 Block of POLK ST,-122.420713728356,37.7910545718408,afternoon
170003829,FRAUD,"CREDIT CARD, THEFT BY USE OF",Sunday,01/01/2017 12:00:00 AM,13:30:00,1500 Block of POLK ST,-122.420713728356,37.7910545718408,afternoon
170003835,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Monday,01/02/2017 12:00:00 AM,13:24:00,VALLEJO ST / SANSOME ST,-122.402423032514,37.7993831220076,afternoon
170003835,OTHER OFFENSES,TRAFFIC VIOLATION,Monday,01/02/2017 12:00:00 AM,13:24:00,VALLEJO ST / SANSOME ST,-122.402423032514,37.7993831220076,afternoon
170003879,LARCENY/THEFT,"LOST PROPERTY, GRAND THEFT",Monday,01/02/2017 12:00:00 AM,12:30:00,700 Block of STANYAN ST,-122.453376250788,37.7687142722405,afternoon
170003885,NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Monday,01/02/2017 12:00:00 AM,13:15:00,1600 Block of PACIFIC AV,-122.422431723545,37.794974567141,afternoon
170003891,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,01/02/2017 12:00:00 AM,13:33:00,100 Block of LEESE ST,-122.422853818839,37.7355844857814,afternoon
170003904,NON-CRIMINAL,"AIDED CASE, SICK PERSON",Monday,01/02/2017 12:00:00 AM,13:08:00,300 Block of SLOAT BL,-122.476112101091,37.734780118103,afternoon
170003904,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Monday,01/02/2017 12:00:00 AM,13:08:00,300 Block of SLOAT BL,-122.476112101091,37.734780118103,afternoon
170003910,NON-CRIMINAL,LOST PROPERTY,Sunday,01/01/2017 12:00:00 AM,01:30:00,500 Block of HOWARD ST,-122.397032436528,37.7878246694374,early_morning
170003926,"SEX OFFENSES, FORCIBLE","PENETRATION, FORCED, WITH OBJECT",Sunday,01/01/2017 12:00:00 AM,02:00:00,400 Block of EUCLID AV,-122.453201554574,37.7840050502083,early_morning
170003926,"SEX OFFENSES, FORCIBLE",SEXUAL BATTERY,Sunday,01/01/2017 12:00:00 AM,02:00:00,400 Block of EUCLID AV,-122.453201554574,37.7840050502083,early_morning
170003926,ASSAULT,FALSE IMPRISONMENT,Sunday,01/01/2017 12:00:00 AM,02:00:00,400 Block of EUCLID AV,-122.453201554574,37.7840050502083,early_morning
170003932,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,01/01/2017 12:00:00 AM,22:00:00,DOLORES ST / 22ND ST,-122.425460469473,37.7550283094484,evening
170003948,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Monday,01/02/2017 12:00:00 AM,13:00:00,500 Block of TWINPEAKS BL,-122.446757209575,37.7531845175462,afternoon
170003954,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Monday,01/02/2017 12:00:00 AM,14:04:00,1000 Block of FITZGERALD AV,-122.388335559443,37.7192849941403,afternoon
170003960,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Monday,01/02/2017 12:00:00 AM,13:49:00,1200 Block of REVERE AV,-122.383599364346,37.7280102316098,afternoon
170003976,OTHER OFFENSES,VIOLATION OF MUNICIPAL CODE,Monday,01/02/2017 12:00:00 AM,13:35:00,0 Block of UNITEDNATIONS PZ,-122.414317857881,37.7799444052046,afternoon
170003998,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,01/02/2017 12:00:00 AM,14:33:00,16TH ST / FOLSOM ST,-122.415308388816,37.765316135635,afternoon
170004015,OTHER OFFENSES,RECKLESS DRIVING,Monday,01/02/2017 12:00:00 AM,13:58:00,SILLIMAN ST / MADISON ST,-122.422842563527,37.7265990798966,afternoon
170004021,ASSAULT,CHILD ABUSE (PHYSICAL),Monday,01/02/2017 12:00:00 AM,14:09:00,2900 Block of 18TH ST,-122.411574230927,37.7616166397327,afternoon
170004021,OTHER OFFENSES,"STAY AWAY ORDER VIOLATION, DV RELATED",Monday,01/02/2017 12:00:00 AM,14:09:00,2900 Block of 18TH ST,-122.411574230927,37.7616166397327,afternoon
